Raw:0.69,-4.83,10.74,0.69,-4.83,10.74,0.69,-4.83,10.74
Raw:-0.15,-4.22,10.58,-0.15,-4.22,10.58,-0.15,-4.22,10.58
Raw:2.76,-6.75,16.87,2.76,-6.75,16.87,2.76,-6.75,16.87
Raw:3.07,-4.68,10.97,3.07,-4.68,10.97,3.07,-4.68,10.97
Raw:0.69,-4.98,15.72,0.69,-4.98,15.72,0.69,-4.98,15.72
Raw:-2.84,-3.68,13.65,-2.84,-3.68,13.65,-2.84,-3.68,13.65
Raw:-2.15,-3.99,13.11,-2.15,-3.99,13.11,-2.15,-3.99,13.11
Raw:-1.23,-2.38,12.81,-1.23,-2.38,12.81,-1.23,-2.38,12.81
Raw:-1.53,-4.68,12.19,-1.53,-4.68,12.19,-1.53,-4.68,12.19
Raw:0.00,-5.83,13.04,0.00,-5.83,13.04,0.00,-5.83,13.04
Raw:-0.46,-3.45,13.27,-0.46,-3.45,13.27,-0.46,-3.45,13.27
Raw:-1.69,-3.07,15.11,-1.69,-3.07,15.11,-1.69,-3.07,15.11
Raw:-2.61,-2.45,10.28,-2.61,-2.45,10.28,-2.61,-2.45,10.28
Raw:-2.38,2.30,4.68,-2.38,2.30,4.68,-2.38,2.30,4.68
Raw:-4.45,1.69,6.14,-4.45,1.69,6.14,-4.45,1.69,6.14
Raw:-4.83,2.53,2.45,-4.83,2.53,2.45,-4.83,2.53,2.45
Raw:-7.06,1.69,-5.44,-7.06,1.69,-5.44,-7.06,1.69,-5.44
Raw:-5.37,2.84,-7.29,-5.37,2.84,-7.29,-5.37,2.84,-7.29
Raw:-0.69,5.37,-9.66,-0.69,5.37,-9.66,-0.69,5.37,-9.66
Raw:2.07,7.21,-7.44,2.07,7.21,-7.44,2.07,7.21,-7.44
Raw:1.30,6.75,-12.65,1.30,6.75,-12.65,1.30,6.75,-12.65
Raw:8.82,6.75,-10.81,8.82,6.75,-10.81,8.82,6.75,-10.81
Raw:8.97,7.44,-10.74,8.97,7.44,-10.74,8.97,7.44,-10.74
Raw:9.28,11.89,-11.35,9.28,11.89,-11.35,9.28,11.89,-11.35
Raw:11.27,12.35,-7.21,11.27,12.35,-7.21,11.27,12.35,-7.21
Raw:8.36,17.71,-7.59,8.36,17.71,-7.59,8.36,17.71,-7.59
Raw:5.21,8.36,-2.15,5.21,8.36,-2.15,5.21,8.36,-2.15
Raw:-0.23,4.83,-13.50,-0.23,4.83,-13.50,-0.23,4.83,-13.50
Raw:-3.22,1.69,-8.51,-3.22,1.69,-8.51,-3.22,1.69,-8.51
Raw:-2.07,1.76,-17.48,-2.07,1.76,-17.48,-2.07,1.76,-17.48
Raw:3.07,4.60,-6.90,3.07,4.60,-6.90,3.07,4.60,-6.90
Raw:2.15,5.44,-6.52,2.15,5.44,-6.52,2.15,5.44,-6.52
Raw:-5.52,7.13,-10.35,-5.52,7.13,-10.35,-5.52,7.13,-10.35
Raw:5.98,1.38,-3.91,5.98,1.38,-3.91,5.98,1.38,-3.91
Raw:0.15,5.37,-6.83,0.15,5.37,-6.83,0.15,5.37,-6.83
Raw:-2.91,6.90,-5.90,-2.91,6.90,-5.90,-2.91,6.90,-5.90
