Comment,Designator,Footprint,LCSC
AP7363,U201,TO-252-2,C108723
NCE01P30K,Q201,TO-252-2,C115991
220u/50V,"C201,C202",CP_ALU_D10x10.5,C125977
LSM303C,U301,LGA-12_2x2mm_P0.5mm,C126671
100n,"C103,C104,C108,C109,C110,C111,C112,C115,C203,C204,C205,C211,C301,C303,C304,C501,C502,C603,C701,C702,C801,C803,C901",C_0603,C14663
1n,"C113,C114,C703",C_0603,C1588
100u/6.3V,C206,CP_TANT_3.5x2.8x1.9,C16133
ESC-BB,"J401,J402,J709",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C161870
4.7u,"C101,C102,C105",C_0603,C19666
1k,"R108,R203,R701,R702,R706,R707,R709,R710,R714,R716",R_0603,C21190
MMBT5551L,"Q701,Q702,Q703,Q704",SOT-23,C2145
LIS2HH12,U801,LGA-12_2x2mm_P0.5mm,C221446
10K,"R115,R116,R117,R118,R121,R201,R202",R_0603,C22843
100,"R401,R402,R703,R704,R705,R708,R711,R712,R713",R_0603,C23162
120E,"R106,R107",R_0603,C25205
10K,"R101,R102,R103,R104,R105",R_0603,C25804
3AT,F203,Fuse_1812_4532Metric,C269140
WS2812B,"D103,D104,D105",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
SS36-E3/57T,D204,D_SMC_7.1x6.2x2.65,C35722
2.2k,"R109,R110,R111,R112",R_0603,C4190
6.2k,R715,R_0603,C4260
CP2104-F03-GMR,U102,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C47742
68uH/3A,L201,L_11.5x10.0mm,C497902
MCP23017_SS,U701,SSOP-28_5.3x10.2mm_P0.65mm,C506653
GPS,J501,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C5341203
SRV05-4,U101,SOT-23-6,C558418
1051330011,J101,USB_Micro-B_Molex-105133-0001,C586226
XL1509-5.0E1,U202,SOIC-8_3.9x4.9mm_P1.27mm,C61063
SM4007PL,"D101,D703",D_SOD-123_2.85x1.8x1.3,C64898
RED,D702,LED_0603,C72038
GREEN,"D102,D202,D203,D701",LED_0603,C72043
ZMM5V6-M,D201,D_MiniMELF,C8062
ESP32-WROOM-32E_(visible_peripherals),U103,ESP32-WROOM-32,C82899
10A/T,"F201,F202",Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,C842712
2N7002,"Q101,Q102",SOT-23_1.4x3_P0.95,C8545
Conn_Coaxial,J601,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
Ai-Thinker-Ra-01,U601,Ai-Thinker-Ra-01-LoRa,C90040
100u/16V,"C106,C107,C207,C208,C209,C210,C302,C601,C602,C802",C_1210_3225Metric,C90143
Accu,J201,AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
ESC SB POWER,"J202,J203",AMASS_XT60-F_1x02_P7.20mm_Vertical,C98734
T1,TP702,Testpoint_0.4x0.7,
Vcell,TP701,Testpoint_0.6x1.0,
3V3,TP202,Testpoint_0.9x1.5,
100,R113,R_0603,
GND,TP201,Testpoint_0.9x1.5,
5V,TP203,Testpoint_0.9x1.5,
100,R114,R_0603,
ON/OFF,SW201,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",
5V/3.3V,JP501,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,
T2,TP703,Testpoint_0.4x0.7,
100,R120,R_0603,
100,R119,R_0603,
