Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,4.7u,C_0603,131.986,-98.118,180,top
C102,4.7u,C_0603,128.938,-101.166,90,top
C103,100n,C_0603,122.476,-114.374,180,top
C104,100n,C_0603,130.462,-101.166,90,top
C105,4.7u,C_0603,127.556,-93.546,180,top
C106,100u/16V,C_1210_3225Metric,118.932,-107.721,90,top
C107,100u/16V,C_1210_3225Metric,118.932,-112.596,-90,top
C108,100n,C_0603,116.392,-113.358,-90,top
C109,100n,C_0603,121.726,-112.342,-90,top
C110,100n,C_0603,124.52,-79.273,-90,top
C111,100n,C_0603,142.239,-51.7394,0,top
C112,100n,C_0603,88.51,-80.39,-90,top
C113,1n,C_0603,125.282,-82.37,-90,top
C114,1n,C_0603,125.028,-91.26,-90,top
C115,100n,C_0603,88.51,-70.39,-90,top
C201,220u/50V,CP_ALU_D10x10.5,74.886,-57.536,180,top
C202,220u/50V,CP_ALU_D10x10.5,73.969,-44.896,90,top
C203,100n,C_0603,112.138,-51.181,0,top
C204,100n,C_0603,83.944,-43.561,180,top
C205,100n,C_0603,115.313,-51.181,180,top
C206,100u/6.3V,CP_TANT_3.5x2.8x1.9,119.758,-47.371,90,top
C207,100u/16V,C_1210_3225Metric,91.564,-49.911,-90,top
C208,100u/16V,C_1210_3225Metric,101.089,-49.911,-90,top
C209,100u/16V,C_1210_3225Metric,97.914,-49.911,-90,top
C210,100u/16V,C_1210_3225Metric,94.739,-49.911,-90,top
C211,100n,C_0603,103.629,-49.911,-90,top
C301,100n,C_0603,142.239,-53.3124,0,top
C302,10u,C_1210_3225Metric,135.6978,-55.8524,180,top
C303,100n,C_0603,141.997,-57.9352,0,top
C304,100n,C_0603,139.408,-56.5912,-90,top
C501,100n,C_0603,108.76,-64.5825,180,top
C502,100n,C_0603,108.76,-66.2335,180,top
C601,100u/16V,C_1210_3225Metric,121.218,-80.14,0,top
C602,100u/16V,C_1210_3225Metric,121.218,-83.64,0,top
C603,100n,C_0603,114.614,-92.784,0,top
C701,100n,C_0603,68.51,-95.59,-90,top
C702,100n,C_0603,120.964,-86.18,180,top
C703,1n,C_0603,80.51,-72.89,180,top
C801,100n,C_0603,129.854,-76.274,90,top
C802,10u,C_1210_3225Metric,126.552,-76.02,0,top
C803,100n,C_0603,126.552,-79.273,-90,top
C901,100n,C_0603,106.01,-65.39,-90,top
D101,SM4007PL,D_SOD-123_2.85x1.8x1.3,130.97,-106.5,-90,top
D102,GREEN,LED_0603,117.01,-101.39,180,top
D103,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.01,-80.39,180,top
