"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D206";"LED_0805";1;"ESC_SB";;;
2;"J207";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"ESCSB";;;
3;"D102,D106,D103";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
4;"Q203,Q204,Q206,Q205,Q202,Q201,Q207,Q101,Q208";"SOT-23";9;"AO3400A";;;
5;"J101";"IDC-Header_2x05_P2.54mm_Vertical";1;"PROG/JTAG";;;
6;"C101,C106,C110,C205,C108,C111,C113,C217,C210,C207,C215,C109,C209,C219,C107,C213,C105,C104,C216";"C_0603";19;"100n";;;
7;"C204,C201,C203,C214,C218,C202";"C_1206_(1.6)";6;"4.7uF/10V";;;
8;"J103";"PinHeader_1x03_P2.54mm_Vertical";1;"ESC_BB";;;
9;"R206,R208,R112,R209,R113";"R_0603";5;"1.8k";;;
10;"R205,R102,R101";"R_0603";3;"10K";;;
11;"R211";"R_0603";1;"15K";;;
12;"C212,C211,C103,C102";"C_1210_3225Metric";4;"100u/16V";;;
13;"R109,R108";"R_0603";2;"2.2k";;;
14;"R201,R207,R203";"R_0603";3;"1k";;;
15;"D202";"D_SMA";1;"B340A";;;
16;"R111,R106,R104,R105,R103,R110";"R_0603";6;"100";;;
17;"J105";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"RS232_Option";;;
18;"U103";"Texas_R-PDSO-G6";1;"LTC4311";;;
19;"J202";"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical";1;"LoadbalanceAccu1";;;
20;"J206";"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical";1;"LoadbalanceCharger";;;
21;"J104";"PinHeader_1x03_P2.54mm_Vertical";1;"ESC_SB";;;
22;"D203";"LED_0805";1;"5V";;;
23;"U102";"SOT-23-6";1;"USBLC6-4SC6";;;
24;"D204";"LED_0805";1;"3.3V";;;
25;"U202,U203,U105,U104";"SOT-23-5";4;"SN74LV1T34DBV";;;
26;"D201,D101";"D_SOD-123_2.85x1.8x1.3";2;"SM4007PL";;;
27;"D105,D104";"LED_0603_1608Metric";2;"PWR_ESC_BB";;;
28;"SW201";"SS-12D10L5";1;"SS-12D11-G050/On-Off";;;
29;"J203";"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical";1;"LoadbalanceAccu2";;;
30;"L201";"L_6.6x7.0mm";1;"33uH/2A";;;
31;"J204";"JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical";1;"Conn_01x10";;;
32;"R107";"R_0603";1;"820";;;
33;"J201";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"Accu";;;
34;"J205";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"PWR_Charger";;;
35;"R204";"R_0603";1;"18K";;;
36;"U101";"ESP32-WROOM-32";1;"ESP32-WROOM-32E_(visible_peripherals)";;;
37;"J106";"Header_1x04_P2.54_Male";1;"Compass";;;
38;"C206,C208,C112";"C_0603";3;"10n";;;
39;"L202";"FTC252012S";1;"10uH";;;
40;"R202";"R_0603";1;"6.2k";;;
41;"R210";"R_0603";1;"82K";;;
42;"U201";"HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias";1;"TPS5430DDAR";;;
43;"U204";"SOT-23-6";1;"TLV61046ADB";;;
44;"J208";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"ESCBB";;;
45;"J102";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"TO PUSH BUTTON";;;
46;"D205";"LED_0805";1;"ESC_BB";;;
