Designator,Mid x,Mid Y,Layer,Rotation
C101,46.56,-147.29,top,0
C102,138.49,-60.34,top,0
C103,138.49,-64.59,top,0
C104,46.56,-149.69,top,0
C105,46.56,-152.09,top,0
C106,46.56,-154.49,top,0
C107,46.56,-156.89,top,0
C108,46.56,-159.29,top,0
C109,50.36,-147.29,top,0
C110,50.36,-149.69,top,0
C111,50.36,-152.09,top,0
C112,50.36,-154.49,top,0
C113,50.36,-156.89,top,0
C201,126.57,-118.76,top,0
C202,126.57,-121.96,top,0
C203,126.57,-125.16,top,0
C204,126.57,-128.36,top,0
C205,125.27,-103.96,top,0
C206,125.27,-106.36,top,0
C207,125.27,-108.76,top,0
C208,125.27,-111.16,top,0
C209,125.27,-113.56,top,0
C210,125.27,-115.96,top,0
C211,149.545,-104.885,top,0
C212,149.545,-109.135,top,0
C213,129.07,-103.96,top,0
C214,126.57,-131.56,top,0
C215,129.07,-106.36,top,0
C216,129.07,-108.76,top,0
C217,129.07,-111.16,top,0
C218,126.57,-134.76,top,0
C219,129.07,-113.56,top,0
D101,47.51,-162.265,top,0
D102,161.65,-106.07,top,0
D103,161.65,-112.69,top,0
D104,148.2745,-92.596,top,0
D105,133.2775,-159.652,top,0
D106,161.65,-119.31,top,0
D201,152.62,-118.935,top,0
D202,150.79,-113.535,top,0
D203,147.32,-118.61,top,0
D204,147.32,-121.51,top,0
D205,147.32,-124.41,top,0
D206,147.32,-127.31,top,0
H305,94.51,-115.39,top,0
J101,56.51,-109.94,top,0
J102,56.234,-130.838,top,0
J103,156.1485,-83.975,top,0
J104,140.8975,-152.555,top,0
J105,47.09,-65.86,top,0
J106,44.236,-77.307,top,0
J201,87.69,-78.77,top,-90
J202,82.41,-167.59,top,0
J203,82.51,-159.365,top,0
J204,83.61,-143.39,top,0
J205,101.68,-78.77,top,-90
J206,83.21,-151.49,top,0
J207,73.72,-78.77,top,-90
J208,115.63,-78.77,top,-90
L201,134.47,-129.085,top,0
L202,151.57,-122.26,top,0
Q101,168.305,-109.78,top,0
Q201,66.1,-69.67,top,-90
Q202,108.01,-69.67,top,-90
Q203,76.26,-69.67,top,-90
Q204,113.09,-69.67,top,-90
Q205,71.18,-69.67,top,-90
Q206,118.17,-69.67,top,-90
Q207,81.34,-69.67,top,-90
Q208,123.25,-69.67,top,-90
R101,41.039,-91.279,top,0
R102,55.374,-140.514,top,0
R103,45.41,-125.09,top,180
R104,45.31,-119.79,top,180
R105,45.01,-110.99,top,180
R106,45.51,-123.39,top,180
R107,30.81,-150.09,top,0
R108,57.974,-143.614,top,0
R109,39.389,-84.179,top,0
R110,28.36,-142.69,top,0
R111,28.26,-139.29,top,0
R112,148.0205,-89.294,top,0
R113,132.2615,-157.112,top,0
R201,129.07,-115.96,top,0
R202,132.87,-103.96,top,0
R203,132.87,-106.36,top,0
R204,132.87,-108.76,top,0
R205,132.87,-111.16,top,0
R206,132.87,-113.56,top,0
R207,132.87,-115.96,top,0
R208,136.67,-103.96,top,0
R209,136.67,-106.36,top,0
R210,136.67,-108.76,top,0
R211,136.67,-111.16,top,0
SW201,137.32,-121.21,top,0
U101,29.51,-115.39,top,0
U102,168.435,-105.16,top,0
U103,28.508,-79.83,top,-90
U104,147.5125,-86.5,top,0
U105,133.2775,-153.81,top,0
U201,149.095,-132.115,top,0
U202,144.145,-105.16,top,0
U203,144.145,-109.785,top,0
U204,82.81,-177.79,top,90
