Comment,Designator,Footprint,LCSC
SN74LV1T34DBV,"U105,U106,U202,U203",SOT-23-5,C100024
LSM303AGRTR,U103,LGA-12_2x2mm_P0.5mm,C126671
100n,"C101,C104,C105,C106,C107,C108,C109,C110,C111,C114,C115,C116,C117,C118,C119,C205,C207,C209,C210,C213,C215,C216,C217,C219",C_0603,C14663
33uH/2A,L201,L_6.6x7.0mm,C177245
AO3400A,"Q101,Q102,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208",SOT-23,C20917
820,"R103,R104,R105,R201,R203,R207",R_0603,C21190
1N4148WS,"D101,D102,D201",D_SOD-323_1.8x1.4x1.15,C2128
100,"R106,R107,R108,R111,R112,R209,R211",R_0603,C22775
15K,R213,R_0603,C22809
PWR_ESC_BB,"D105,D106",LED_0603_1608Metric,C2286
5V,"D203,D204,D205,D206",LED_0805,C2297
82K,R212,R_0603,C23254
10K,"R101,R102,R202,R205",R_0603,C25804
18K,R204,R_0603,C25810
WS2812B,"D103,D104,D107",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
0.3E 240E@100MHz,FB101,L_0805_(1.2),C2941558
4.7uF/10V,"C201,C202,C203,C204,C214,C218",C_1206_(1.6),C29823
On/Off,SW201,SS-12D10L5,C319012
1.8k,"R109,R110,R206,R208,R210",R_0603,C4177
TLV61046ADB,U204,SOT-23-6,C464815
USBLC6-4SC6,U102,SOT-23-6,C5197386
PUSH BUTTON,"J102,J104,J105",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C5341202
LoadbalanceAccu1,"J202,J203",JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,C5341206
PROG/JTAG,J101,IDC-Header_2x05_P2.54mm_Vertical,C5665
10n,"C112,C206,C208",C_0603,C57112
LTC4311,U104,Texas_R-PDSO-G6,C580856
10uH,L202,FTC252012S,C5832376
ESP32-WROOM-32E_(visible_peripherals),U101,ESP32-WROOM-32,C82899
B340A,D202,D_SMA,C85098
100u/16V,"C102,C103,C113,C211,C212",C_1210_3225Metric,C90143
Buzzer,BZ101,Buzzer-12x6.5x5.2,C968749
TPS5430DDAR,U201,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias,C9864
Accu 1,"J201,J205",AMASS_XT60-M_1x02_P7.20mm_Vertical,C98733
ESCSB,"J206,J207",AMASS_XT60-F_1x02_P7.20mm_Vertical,C98734
