Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ101,Buzzer,Buzzer-12x6.5x5.2,157.036,-80.0975,90.0,top
C101,100n,C_0603,97.81,-107.99,90.0,top
C102,100u/16V,C_1210_3225Metric,138.21,-135.09,0.0,top
C103,100u/16V,C_1210_3225Metric,138.21,-138.29,0.0,top
C104,100n,C_0603,138.21,-132.69,0.0,top
C105,100n,C_0603,138.11,-140.59,0.0,top
C106,100n,C_0603,123.524,-44.55,-90.0,top
C107,100n,C_0603,122.762,-69.442,90.0,top
C108,100n,C_0603,119.41,-80.89,90.0,top
C109,100n,C_0603,125.048,-47.344,180.0,top
C110,100n,C_0603,146.31,-113.89,0.0,top
C111,100n,C_0603,106.21,-113.19,180.0,top
C112,10n,C_0603,130.128,-76.034,90.0,top
C113,100u/16V,C_1210_3225Metric,119.46,-56.488,0.0,top
C114,100n,C_0603,125.81,-42.176,0.0,top
C115,100n,C_0603,88.77,-96.483,90.0,top
C116,100n,C_0603,128.604,-44.55,90.0,top
C117,100n,C_0603,90.758,-63.854,0.0,top
C118,100n,C_0603,160.608,-71.728,0.0,top
C119,100n,C_0603,90.758,-113.638,0.0,top
C201,4.7uF/10V,C_1206_(1.6),151.972,-122.02,180.0,top
C202,4.7uF/10V,C_1206_(1.6),151.972,-115.162,180.0,top
C203,4.7uF/10V,C_1206_(1.6),151.972,-117.448,180.0,top
C204,4.7uF/10V,C_1206_(1.6),151.972,-119.734,180.0,top
C205,100n,C_0603,154.512,-113.13,0.0,top
C206,10n,C_0603,150.702,-113.13,180.0,top
C207,100n,C_0603,138.21,-128.37,0.0,top
C208,10n,C_0603,157.814,-104.748,90.0,top
C209,100n,C_0603,147.81,-121.39,90.0,top
C210,100n,C_0603,109.71,-123.9075,90.0,top
C211,100u/16V,C_1210_3225Metric,163.402,-97.798,90.0,top
C212,100u/16V,C_1210_3225Metric,159.846,-97.749,90.0,top
C213,100n,C_0603,163.336,-92.048,90.0,top
C214,4.7uF/10V,C_1206_(1.6),161.304,-92.048,90.0,top
C215,100n,C_0603,158.51,-94.588,0.0,top
