Comment,Designator,Footprint,LCSC
SMBJ5.0A,D201,D_SMB,C110528
100n,"C101,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C201,C202,C203,C205,C206,C209,C303",C_0603,C14663
A03401A,"Q101,Q202",SOT-23,C15127
TP4056,U202,Diodes_PSOP-8,C16581
AO3400A,Q102,SOT-23,C20917
1K,"R114,R115,R116,R216",R_0603,C21190
100,"R103,R104,R105,R106,R108,R109,R110,R112,R113,R117,R211",R_0603,C22775
1.5K,R215,R_0603,C22843
CHRG,D202,LED_0603,C2286
3.3V,"D101,D102,D103,D203,D205,D206",LED_0805,C2297
10K,"R101,R102",R_0603,C25804
I2C Option,J105,PinSocket_1x04_P2.54mm_Vertical,C2718488
FS8205A,Q201,TSSOP-8_4.4x3mm_P0.65mm,C2830320
WS2812B,"D104,D105,D106",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
DW01A,U203,SOT-23-6,C2927799
4.7uF,"C204,C207,C208,C210",C_1206_(1.6),C29823
On/Off,SW201,SS-12D10L5,C319012
2.2k,"R107,R111",R_0603,C4190
TLV61046ADB,"U201,U204",SOT-23-6,C464815
Accu,J202,Header_1x02_P2.54_Male,C492401
USBLC6-4SC6,"U102,U103",SOT-23-6,C5197386
FRONT SWITCH,J103,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C5341202
Option_Buttons,"J102,J104,J201",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C5341203
PROG/JTAG,J101,IDC-Header_2x05_P2.54mm_Vertical,C5665
10uH,"L201,L202",FTC252012S,C5832376
ESP32-WROOM-32E_(visible_peripherals),U101,ESP32-WROOM-32,C82899
B340A,D204,D_SMA,C85098
Ai-Thinker-Ra-02,U301,Ai-Thinker-Ra-02-LoRa,C90039
100u/16V,"C102,C103,C301,C302",C_1210_3225Metric,C90143
Buzzer,BZ101,Buzzer-12x6.5x5.2,C968749
10K,R214,R_0603,
1K,R209,R_0603,
1.5K,R208,R_0603,
1K,R205,R_0603,
1K,R204,R_0603,
1K,R201,R_0603,
1K,R202,R_0603,
82K,R206,R_0603,
15K,R207,R_0603,
51K,R212,R_0603,
16K,R213,R_0603,
15K,R203,R_0603,
