"Footprint","Part Value","LCSC Part"
"AMASS_XT60-F_1x02_P7.20mm_Vertical","PWR_Charger","C98733"
"AMASS_XT60-F_1x02_P7.20mm_Vertical","ESCSB","C98734"
"AMASS_XT60-F_1x02_P7.20mm_Vertical","ESCBB","C98734"
"AMASS_XT60-M_1x02_P7.20mm_Vertical","Accu","C98733"
"Ai-Thinker-Ra-01-LoRa","Ai-Thinker-Ra-02","C90039"
"Ai-Thinker-Ra-02-LoRa","Ai-Thinker-Ra-02","C90039"
"Buzzer-12x6.5x5.2","Buzzer","C968749"
"C_0603","100n","C14663"
"C_0603","10n","C57112"
"C_1206_(1.6)","4.7uF/10V","C29823"
"C_1206_(1.6)","4.7uF","C29823"
"C_1210_3225Metric","100u/16V","C90143"
"C_1210_3225Metric","100u/10V","C23742"
"D_SMA","B340A","C85098"
"D_SMB","SMBJ5.0A","C110528"
"D_SOD-123_2.85x1.8x1.3","SM4007PL","C64898"
"Diodes_PSOP-8","TP4056","C16581"
"ESP32-WROOM-32","ESP32-WROOM-32E_(visible_peripherals)","C82899"
"FTC252012S","10uH","C5832376"
"HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias","TPS5430DDAR","C9864"
"Header_1x02_P2.54_Male","Accu","C492401"
"IDC-Header_2x05_P2.54mm_Vertical","PROG/JTAG","C5665"
"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Accu","C5341201"
"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","TO PUSH BUTTON","C161870"
"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","ESC_BB","C5341202"
"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","ESC_SB","C5341202"
"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","PUSH BUTTON","C5341202"
"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","FRONT SWITCH","C5341202"
"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Compass","C5341203"
"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Option_Buttons","C5341203"
"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","FRONT SWITCH","C5341202"
"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","GPS","C5341203"
"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Power/On_Off","C5341203"
"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Charge/On_Off","C5341203"
"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical","LoadbalanceAccu1","C5341206"
"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical","LoadbalanceAccu2","C5341206"
"JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical","LoadbalanceCharger","C5341206"
"LED_0603","CHRG","C2286"
"LED_0603_1608Metric","PWR_ESC_BB","C2286"
"LED_0805","5V","C2297"
"LED_0805","3.3V","C2297"
"LED_0805","ESC_BB","C2297"
"LED_0805","ESC_SB","C2297"
"LED_0805","READY","C2297"
"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","WS2812B","C2843785"
"L_6.6x7.0mm","33uH/2A","C177245"
"PinSocket_1x04_P2.54mm_Vertical","RS232_Option","C2718488"
"PinSocket_1x04_P2.54mm_Vertical","I2C Option","C2718488"
"R_0603","10K","C25804"
"R_0603","100","C22775"
"R_0603","820","C21190"
"R_0603","2.2k","C4190"
"R_0603","1.8k","C4177"
"R_0603","1k","C21190"
"R_0603","6.2k","C25804"
"R_0603","18K","C25810"
"R_0603","82K","C23254"
"R_0603","15K","C22809"
"R_0603","1.5k","C22843"
"R_0603","1K","C21190"
"R_0603","1.5K","C22843"
"SOT-23","AO3400A","C20917"
"SOT-23","A03401A","C15127"
"SOT-23-5","SN74LV1T34DBV","C100024"
"SOT-23-6","USBLC6-4SC6","C5197386"
"SOT-23-6","TLV61046ADB","C464815"
"SOT-23-6","DW01A","C2927799"
"SS-12D10L5","SS-12D11-G050/On-Off","C319012"
"SS-12D10L5","On/Off","C319012"
"SW_SPST_TL3342","MODE","C318884"
"T4140012121000","CHARGE/ON-OFF","C319012"
"TSSOP-8_4.4x3mm_P0.65mm","FS8205A","C2830320"
"Texas_R-PDSO-G6","LTC4311","C580856"
